BonusID,EmployeeID,BonusAmount,BonusDate,BonusDescription
1185,1185,790.95,2023-08-09,Employee of the month bonus.
1186,1186,1025.67,2024-05-13,Project completion bonus.
1187,1187,1464.63,2023-06-04,Sales target achievement bonus.
1188,1188,1215.97,2023-06-28,Year-end performance bonus.
1189,1189,1789.59,2023-11-28,Project completion bonus.
1190,1190,1525.58,2023-10-10,Year-end performance bonus.
1191,1191,738.36,2023-06-26,Project completion bonus.
1192,1192,963.22,2024-01-25,Project completion bonus.
1193,1193,1207.57,2024-03-07,Sales target achievement bonus.
1194,1194,1840.78,2024-03-15,Project completion bonus.
1195,1195,823.78,2023-11-21,Sales target achievement bonus.
1196,1196,768.92,2024-04-08,Employee of the month bonus.
1197,1197,664.29,2023-11-22,Employee of the month bonus.
1198,1198,512.87,2024-02-14,Holiday bonus.
1199,1199,707.84,2023-12-31,Sales target achievement bonus.
1200,1200,869.89,2024-02-05,Holiday bonus.
1201,1201,1578.58,2023-10-28,Year-end performance bonus.
1202,1202,1855.12,2024-03-13,Employee of the month bonus.
1203,1203,733.68,2024-04-10,Holiday bonus.
1204,1204,1914.09,2023-07-17,Holiday bonus.
1205,1205,622.46,2023-05-24,Sales target achievement bonus.
1206,1206,1493.32,2023-07-30,Year-end performance bonus.
1207,1207,1834.35,2023-11-28,Sales target achievement bonus.
1208,1208,616.73,2024-03-27,Holiday bonus.
1209,1209,979.08,2023-09-09,Sales target achievement bonus.
1210,1210,681.95,2023-06-13,Sales target achievement bonus.
1211,1211,1419.91,2023-11-30,Year-end performance bonus.
1212,1212,638.28,2024-03-02,Sales target achievement bonus.
1213,1213,1880.08,2023-06-25,Year-end performance bonus.
1214,1214,909.77,2024-01-09,Holiday bonus.
1215,1215,1149.79,2023-08-20,Year-end performance bonus.
1216,1216,625.61,2024-04-16,Project completion bonus.
1217,1217,667.87,2024-04-13,Year-end performance bonus.
1218,1218,1417.85,2023-10-29,Year-end performance bonus.
1219,1219,1314.23,2024-04-26,Holiday bonus.
1220,1220,1326.19,2024-02-22,Employee of the month bonus.
1221,1221,1864.86,2023-08-17,Holiday bonus.
1222,1222,1960.49,2023-06-23,Year-end performance bonus.
1223,1223,997.72,2024-03-20,Year-end performance bonus.
1224,1224,1843.88,2023-09-11,Employee of the month bonus.
1225,1225,1735.31,2024-01-26,Year-end performance bonus.
1226,1226,1225.62,2024-03-09,Employee of the month bonus.
1227,1227,1755.5,2023-10-23,Sales target achievement bonus.
1228,1228,1987.69,2023-08-26,Employee of the month bonus.
1229,1229,824.96,2023-08-14,Year-end performance bonus.
1230,1230,1128.48,2023-12-19,Holiday bonus.
1231,1231,1715.58,2023-12-21,Project completion bonus.
1232,1232,678.51,2023-10-26,Employee of the month bonus.
1233,1233,1138.82,2023-12-03,Project completion bonus.
1234,1234,1315.27,2023-06-21,Project completion bonus.
1235,1235,957.94,2023-10-05,Year-end performance bonus.
1236,1236,1353.09,2023-08-14,Sales target achievement bonus.
1237,1237,528.84,2023-10-04,Employee of the month bonus.
1238,1238,1388.43,2024-05-01,Holiday bonus.
1239,1239,1994.73,2023-08-28,Holiday bonus.
1240,1240,1100.02,2023-09-15,Year-end performance bonus.
1241,1241,1035.29,2023-10-13,Employee of the month bonus.
1242,1242,1887.36,2024-04-10,Employee of the month bonus.
1243,1243,1147.87,2023-08-17,Sales target achievement bonus.
1244,1244,1187.44,2023-12-15,Project completion bonus.
1245,1245,543.16,2023-08-18,Sales target achievement bonus.
1246,1246,589.48,2023-05-29,Holiday bonus.
1247,1247,772.09,2023-09-20,Project completion bonus.
1248,1248,535.29,2023-12-30,Employee of the month bonus.
1249,1249,1092.62,2023-12-15,Project completion bonus.
1250,1250,505.17,2023-08-20,Year-end performance bonus.
1251,1251,631.69,2024-01-24,Year-end performance bonus.
1252,1252,1924.65,2023-10-19,Project completion bonus.
1253,1253,1906.03,2023-11-09,Employee of the month bonus.
1254,1254,786.76,2023-08-14,Holiday bonus.
1255,1255,702.35,2024-03-30,Project completion bonus.
1256,1256,1514.31,2023-10-09,Employee of the month bonus.
1257,1257,1749.75,2023-09-13,Sales target achievement bonus.
1258,1258,1614.57,2024-05-20,Year-end performance bonus.
1259,1259,1896.34,2024-01-05,Holiday bonus.
1260,1260,1019.38,2024-04-15,Holiday bonus.
1261,1261,1407.26,2023-06-29,Year-end performance bonus.
1262,1262,1977.36,2024-02-13,Project completion bonus.
1263,1263,1313.83,2024-03-22,Holiday bonus.
1264,1264,901.59,2023-11-03,Employee of the month bonus.
1265,1265,831.6,2024-04-14,Holiday bonus.
1266,1266,1546.72,2023-12-16,Holiday bonus.
1267,1267,637.04,2023-08-05,Project completion bonus.
1268,1268,1300.24,2023-07-30,Project completion bonus.
1269,1269,1340.99,2024-01-19,Sales target achievement bonus.
1270,1270,1893.27,2023-10-11,Employee of the month bonus.
1271,1271,661.61,2024-01-19,Sales target achievement bonus.
1272,1272,1332.96,2023-12-23,Holiday bonus.
1273,1273,1248.42,2023-06-03,Year-end performance bonus.
1274,1274,631.35,2023-07-23,Holiday bonus.
1275,1275,1373.78,2024-02-17,Employee of the month bonus.
1276,1276,1006.43,2023-09-02,Sales target achievement bonus.
1277,1277,1448.12,2024-04-13,Year-end performance bonus.
1278,1278,1600.15,2023-08-25,Holiday bonus.
1279,1279,1105.57,2023-08-20,Employee of the month bonus.
1280,1280,1085.03,2024-01-27,Sales target achievement bonus.
1281,1281,1238.61,2024-03-20,Project completion bonus.
1282,1282,1833.09,2024-04-30,Sales target achievement bonus.
1283,1283,1908.81,2023-09-17,Employee of the month bonus.
1284,1284,1392.98,2024-01-18,Sales target achievement bonus.
1285,1285,1740.59,2024-05-18,Employee of the month bonus.
1286,1286,1366.9,2024-01-10,Project completion bonus.
1287,1287,1785.43,2024-01-29,Year-end performance bonus.
1288,1288,1483.43,2023-09-07,Employee of the month bonus.
1289,1289,1246.18,2024-04-28,Year-end performance bonus.
1290,1290,1249.62,2024-01-15,Year-end performance bonus.
1291,1291,728.33,2023-07-28,Holiday bonus.
1292,1292,1764.35,2023-09-13,Holiday bonus.
1293,1293,1818.37,2023-10-21,Project completion bonus.
1294,1294,1325.93,2023-08-05,Employee of the month bonus.
1295,1295,1025.6,2024-03-06,Holiday bonus.
1296,1296,1579.58,2023-07-15,Holiday bonus.
1297,1297,884.51,2023-06-29,Year-end performance bonus.
1298,1298,1063.1,2023-10-15,Project completion bonus.
1299,1299,923.69,2023-10-25,Project completion bonus.
1300,1300,1696.94,2023-09-16,Employee of the month bonus.
1301,1301,1042.24,2023-12-18,Employee of the month bonus.
1302,1302,1444.46,2023-07-11,Sales target achievement bonus.
1303,1303,1454.66,2023-09-05,Sales target achievement bonus.
1304,1304,824.69,2023-11-06,Employee of the month bonus.
1305,1305,1064.05,2024-03-03,Employee of the month bonus.
1306,1306,1433.87,2024-04-01,Sales target achievement bonus.
1307,1307,1470.46,2024-04-08,Sales target achievement bonus.
1308,1308,1904.05,2023-10-19,Project completion bonus.
1309,1309,925.64,2023-08-05,Project completion bonus.
1310,1310,1084.87,2024-03-16,Employee of the month bonus.
1311,1311,777.38,2024-05-15,Employee of the month bonus.
1312,1312,1813.37,2023-08-29,Project completion bonus.
1313,1313,1370.1,2023-06-06,Sales target achievement bonus.
1314,1314,945.25,2023-07-13,Employee of the month bonus.
1315,1315,1594.4,2024-03-13,Sales target achievement bonus.
1316,1316,1902.48,2023-06-27,Sales target achievement bonus.
1317,1317,528.69,2024-03-24,Holiday bonus.
1318,1318,966.05,2023-10-20,Holiday bonus.
1319,1319,1278.85,2023-07-01,Sales target achievement bonus.
1320,1320,1332.36,2023-08-08,Sales target achievement bonus.
1321,1321,761.36,2023-11-09,Sales target achievement bonus.
1322,1322,1554.55,2023-11-27,Year-end performance bonus.
1323,1323,993.28,2024-03-02,Year-end performance bonus.
1324,1324,1350.81,2023-08-25,Employee of the month bonus.
1325,1325,1202.46,2024-01-03,Year-end performance bonus.
1326,1326,1191.59,2023-06-13,Sales target achievement bonus.
1327,1327,1842.26,2023-11-11,Year-end performance bonus.
1328,1328,1804.61,2024-04-06,Holiday bonus.
1329,1329,798.27,2023-12-21,Year-end performance bonus.
1330,1330,1384.7,2023-10-30,Year-end performance bonus.
1331,1331,1513.14,2024-04-22,Sales target achievement bonus.
1332,1332,676.71,2024-04-20,Holiday bonus.
1333,1333,543.41,2024-02-18,Holiday bonus.
1334,1334,1947.54,2024-01-05,Project completion bonus.
1335,1335,1626.23,2023-06-06,Employee of the month bonus.
1336,1336,1176.98,2023-12-16,Year-end performance bonus.
1337,1337,1783.87,2023-09-30,Project completion bonus.
1338,1338,1216.14,2023-07-30,Project completion bonus.
1339,1339,638.64,2023-08-10,Employee of the month bonus.
1340,1340,1987.15,2024-01-11,Project completion bonus.
1341,1341,1448.74,2023-08-05,Year-end performance bonus.
1342,1342,1752.2,2023-09-22,Holiday bonus.
1343,1343,1956.42,2024-02-28,Project completion bonus.
1344,1344,588.51,2023-11-14,Project completion bonus.
1345,1345,1523.04,2023-07-05,Sales target achievement bonus.
1346,1346,1205.71,2024-02-27,Holiday bonus.
1347,1347,1068.61,2023-07-24,Sales target achievement bonus.
1348,1348,1221.43,2023-08-04,Year-end performance bonus.
1349,1349,813.6,2023-06-27,Project completion bonus.
1350,1350,825.69,2023-06-03,Year-end performance bonus.
1351,1351,1941.59,2023-06-05,Year-end performance bonus.
1352,1352,1289.94,2023-11-29,Year-end performance bonus.
1353,1353,1631.94,2023-07-03,Sales target achievement bonus.
1354,1354,744.93,2023-09-29,Employee of the month bonus.
1355,1355,604.59,2023-08-09,Holiday bonus.
1356,1356,1705.3,2024-04-03,Project completion bonus.
1357,1357,943.84,2023-07-11,Sales target achievement bonus.
1358,1358,1099.52,2023-08-21,Year-end performance bonus.
1359,1359,1183.01,2024-04-05,Sales target achievement bonus.
1360,1360,836.91,2023-12-23,Sales target achievement bonus.
1361,1361,1778.49,2024-03-23,Sales target achievement bonus.
1362,1362,1874.71,2024-01-21,Year-end performance bonus.
1363,1363,1873.31,2024-02-26,Project completion bonus.
1364,1364,702.32,2024-02-08,Holiday bonus.
1365,1365,1182.74,2024-01-03,Employee of the month bonus.
1366,1366,556.02,2023-12-06,Year-end performance bonus.
1367,1367,1985.11,2023-12-16,Sales target achievement bonus.
1368,1368,1063.86,2023-12-26,Employee of the month bonus.
1369,1369,1745.46,2023-06-08,Project completion bonus.
1370,1370,1975.27,2024-01-06,Holiday bonus.
1371,1371,1791.89,2023-07-14,Project completion bonus.
1372,1372,1197.54,2024-03-21,Sales target achievement bonus.
1373,1373,1117.46,2024-02-08,Holiday bonus.
1374,1374,915.56,2024-02-19,Year-end performance bonus.
1375,1375,1913.68,2023-07-06,Sales target achievement bonus.
1376,1376,1005.62,2024-03-24,Project completion bonus.
1377,1377,1203.37,2024-04-07,Project completion bonus.
1378,1378,925.24,2023-10-31,Project completion bonus.
1379,1379,1474.39,2023-09-22,Holiday bonus.
1380,1380,1474.92,2023-06-06,Holiday bonus.
1381,1381,581.23,2023-12-06,Sales target achievement bonus.
1382,1382,1239.04,2023-09-23,Employee of the month bonus.
1383,1383,728.95,2023-10-09,Employee of the month bonus.
1384,1384,1915.31,2023-10-12,Project completion bonus.
1385,1385,984.21,2024-05-02,Holiday bonus.
1386,1386,1864.64,2024-05-21,Sales target achievement bonus.
1387,1387,723.29,2023-09-10,Year-end performance bonus.
1388,1388,1953.24,2024-04-28,Employee of the month bonus.
1389,1389,713.02,2023-11-06,Employee of the month bonus.
1390,1390,824.76,2023-07-02,Employee of the month bonus.
1391,1391,977.47,2023-10-06,Year-end performance bonus.
1392,1392,1803.23,2024-04-14,Project completion bonus.
1393,1393,1429.12,2023-11-04,Holiday bonus.
1394,1394,1788.41,2023-06-29,Holiday bonus.
1395,1395,1661.77,2024-01-04,Holiday bonus.
1396,1396,1951.14,2023-10-08,Sales target achievement bonus.
1397,1397,1894.96,2024-01-20,Sales target achievement bonus.
1398,1398,1046.07,2023-12-27,Holiday bonus.
1399,1399,1585.17,2023-08-21,Employee of the month bonus.
1400,1400,706.66,2023-10-28,Project completion bonus.
1401,1401,1427.71,2023-12-31,Year-end performance bonus.
1402,1402,1866.06,2024-01-18,Project completion bonus.
1403,1403,1620.78,2024-02-25,Holiday bonus.
1404,1404,1504.87,2023-09-19,Project completion bonus.
1405,1405,615.17,2023-11-15,Sales target achievement bonus.
1406,1406,987.73,2023-06-05,Sales target achievement bonus.
1407,1407,1780.35,2023-12-20,Sales target achievement bonus.
1408,1408,1030.47,2024-01-28,Holiday bonus.
1409,1409,1573.65,2023-08-13,Sales target achievement bonus.
1410,1410,1278.17,2023-06-12,Project completion bonus.
1411,1411,1473.51,2023-09-04,Sales target achievement bonus.
1412,1412,1718.8,2024-03-28,Sales target achievement bonus.
1413,1413,1821.95,2024-05-06,Sales target achievement bonus.
1414,1414,958.85,2024-01-07,Project completion bonus.
1415,1415,502.35,2024-01-02,Sales target achievement bonus.
1416,1416,803.22,2023-08-15,Employee of the month bonus.
1417,1417,1710.9,2023-06-22,Sales target achievement bonus.
1418,1418,708.52,2024-05-21,Holiday bonus.
1419,1419,878.85,2023-08-01,Employee of the month bonus.
1420,1420,1055.5,2023-07-17,Year-end performance bonus.
1421,1421,1906.26,2023-10-23,Sales target achievement bonus.
1422,1422,1985.3,2024-04-02,Sales target achievement bonus.
1423,1423,1373.08,2023-06-06,Project completion bonus.
1424,1424,1417.88,2023-08-31,Holiday bonus.
1425,1425,847.0,2024-01-25,Project completion bonus.
1426,1426,971.12,2023-06-25,Sales target achievement bonus.
1427,1427,1467.82,2023-11-09,Year-end performance bonus.
1428,1428,1614.69,2024-02-01,Holiday bonus.
1429,1429,564.9,2023-08-21,Holiday bonus.
1430,1430,522.98,2024-05-06,Sales target achievement bonus.
1431,1431,1861.65,2024-02-02,Project completion bonus.
1432,1432,1693.5,2023-06-22,Sales target achievement bonus.
1433,1433,1901.75,2023-05-27,Year-end performance bonus.
1434,1434,1799.09,2023-08-21,Holiday bonus.
1435,1435,1712.17,2024-05-02,Holiday bonus.
1436,1436,1049.71,2024-01-20,Sales target achievement bonus.
1437,1437,1924.8,2023-11-24,Project completion bonus.
1438,1438,659.82,2024-05-14,Employee of the month bonus.
1439,1439,1395.28,2023-08-27,Project completion bonus.
1440,1440,1372.76,2024-04-28,Year-end performance bonus.
1441,1441,1158.8,2023-12-21,Year-end performance bonus.
1442,1442,696.0,2024-05-13,Project completion bonus.
1443,1443,991.64,2024-03-20,Project completion bonus.
1444,1444,1016.42,2023-11-15,Employee of the month bonus.
1445,1445,1386.96,2024-02-14,Sales target achievement bonus.
1446,1446,1967.67,2024-05-02,Holiday bonus.
1447,1447,542.94,2023-07-12,Year-end performance bonus.
1448,1448,1256.18,2023-06-10,Year-end performance bonus.
1449,1449,1043.4,2024-02-23,Year-end performance bonus.
1450,1450,1991.13,2023-10-19,Sales target achievement bonus.
1451,1451,856.18,2023-07-14,Sales target achievement bonus.
1452,1452,1615.52,2024-03-24,Sales target achievement bonus.
1453,1453,1594.94,2023-08-02,Employee of the month bonus.
1454,1454,1026.23,2024-04-29,Year-end performance bonus.
1455,1455,1795.59,2024-01-30,Holiday bonus.
1456,1456,1228.45,2023-07-30,Year-end performance bonus.
1457,1457,861.78,2023-06-10,Sales target achievement bonus.
1458,1458,824.99,2023-12-31,Project completion bonus.
1459,1459,1126.41,2023-12-11,Project completion bonus.
1460,1460,660.14,2024-04-04,Sales target achievement bonus.
1461,1461,1665.31,2023-09-10,Year-end performance bonus.
1462,1462,1284.54,2023-05-30,Year-end performance bonus.
1463,1463,1778.42,2023-12-25,Holiday bonus.
1464,1464,1002.23,2023-12-05,Project completion bonus.
1465,1465,516.03,2023-07-27,Employee of the month bonus.
1466,1466,1678.43,2023-09-05,Project completion bonus.
1467,1467,664.98,2023-10-31,Year-end performance bonus.
1468,1468,1782.96,2024-04-05,Holiday bonus.
1469,1469,1148.81,2023-10-26,Sales target achievement bonus.
1470,1470,1094.55,2023-09-17,Project completion bonus.
1471,1471,744.71,2023-07-16,Employee of the month bonus.
1472,1472,1082.14,2023-08-04,Holiday bonus.
1473,1473,1913.84,2023-10-25,Year-end performance bonus.
1474,1474,1986.43,2023-07-25,Employee of the month bonus.
1475,1475,911.32,2024-04-30,Holiday bonus.
1476,1476,1099.72,2023-09-08,Year-end performance bonus.
1477,1477,1228.96,2023-06-02,Year-end performance bonus.
1478,1478,1044.03,2023-10-27,Project completion bonus.
1479,1479,992.75,2023-11-11,Project completion bonus.
1480,1480,1200.76,2023-09-16,Year-end performance bonus.
1481,1481,1347.64,2023-08-29,Holiday bonus.
1482,1482,1489.28,2024-03-18,Project completion bonus.
1483,1483,1868.52,2024-03-20,Project completion bonus.
1484,1484,1206.29,2024-04-29,Holiday bonus.
1485,1485,1000.41,2024-02-02,Sales target achievement bonus.
1486,1486,695.32,2023-09-14,Sales target achievement bonus.
1487,1487,1778.62,2024-02-15,Holiday bonus.
1488,1488,1204.03,2024-02-21,Employee of the month bonus.
1489,1489,1138.51,2023-12-10,Project completion bonus.
1490,1490,601.83,2023-11-29,Year-end performance bonus.
1491,1491,1828.97,2024-03-17,Sales target achievement bonus.
1492,1492,973.67,2023-09-15,Year-end performance bonus.
1493,1493,1407.89,2023-08-31,Year-end performance bonus.
1494,1494,1686.52,2024-04-14,Project completion bonus.
1495,1495,660.06,2023-11-20,Year-end performance bonus.
1496,1496,978.54,2024-02-27,Holiday bonus.
1497,1497,501.75,2024-02-09,Year-end performance bonus.
1498,1498,886.79,2023-06-05,Project completion bonus.
1499,1499,1668.69,2023-06-12,Sales target achievement bonus.
1500,1500,1902.64,2023-08-21,Employee of the month bonus.
1501,1501,1133.83,2023-09-21,Sales target achievement bonus.
1502,1502,640.77,2024-04-13,Year-end performance bonus.
1503,1503,851.04,2023-07-27,Sales target achievement bonus.
1504,1504,1036.73,2024-01-02,Project completion bonus.
1505,1505,794.66,2023-06-21,Project completion bonus.
1506,1506,728.43,2023-07-06,Year-end performance bonus.
1507,1507,702.08,2023-09-06,Sales target achievement bonus.
1508,1508,826.08,2024-03-19,Sales target achievement bonus.
1509,1509,1454.11,2023-08-15,Project completion bonus.
1510,1510,1417.8,2024-03-29,Sales target achievement bonus.
1511,1511,690.25,2023-05-25,Employee of the month bonus.
1512,1512,1513.22,2023-08-09,Year-end performance bonus.
1513,1513,959.41,2023-10-14,Project completion bonus.
1514,1514,1619.34,2024-03-06,Year-end performance bonus.
1515,1515,1593.71,2023-07-16,Employee of the month bonus.
1516,1516,1504.31,2023-07-24,Holiday bonus.
1517,1517,1303.16,2024-01-27,Sales target achievement bonus.
1518,1518,676.36,2023-07-04,Year-end performance bonus.
1519,1519,1833.98,2024-01-02,Employee of the month bonus.
1520,1520,1698.48,2024-03-28,Sales target achievement bonus.
1521,1521,759.0,2023-12-20,Employee of the month bonus.
1522,1522,627.63,2023-07-24,Employee of the month bonus.
1523,1523,1542.6,2023-10-09,Sales target achievement bonus.
1524,1524,1429.43,2023-12-19,Year-end performance bonus.
1525,1525,508.67,2023-07-19,Holiday bonus.
1526,1526,682.2,2024-02-06,Year-end performance bonus.
1527,1527,612.22,2024-04-09,Holiday bonus.
1528,1528,1246.46,2023-09-12,Year-end performance bonus.
1529,1529,1786.18,2024-05-15,Sales target achievement bonus.
1530,1530,1758.99,2023-06-25,Holiday bonus.
1531,1531,666.31,2023-12-21,Employee of the month bonus.
1532,1532,1099.49,2023-08-08,Employee of the month bonus.
1533,1533,728.36,2024-05-09,Project completion bonus.
1534,1534,1721.82,2024-05-06,Holiday bonus.
1535,1535,1560.94,2023-12-10,Holiday bonus.
1536,1536,1946.06,2023-07-11,Year-end performance bonus.
1537,1537,738.61,2023-11-04,Holiday bonus.
1538,1538,1746.07,2023-08-19,Year-end performance bonus.
1539,1539,1914.52,2023-12-25,Sales target achievement bonus.
1540,1540,528.74,2023-10-05,Holiday bonus.
1541,1541,1195.93,2024-01-21,Year-end performance bonus.
1542,1542,1874.04,2024-02-08,Sales target achievement bonus.
1543,1543,1945.51,2024-05-16,Sales target achievement bonus.
1544,1544,571.91,2023-11-01,Sales target achievement bonus.
1545,1545,1406.56,2023-10-02,Sales target achievement bonus.
1546,1546,1029.2,2023-12-13,Project completion bonus.
1547,1547,1853.25,2024-04-03,Sales target achievement bonus.
1548,1548,1569.55,2024-01-09,Holiday bonus.
1549,1549,1672.26,2024-01-28,Year-end performance bonus.
1550,1550,1672.2,2024-01-08,Year-end performance bonus.
1551,1551,1169.85,2023-06-24,Project completion bonus.
1552,1552,1478.09,2023-07-18,Employee of the month bonus.
1553,1553,1528.08,2023-10-12,Project completion bonus.
1554,1554,1487.62,2023-12-29,Holiday bonus.
1555,1555,1364.33,2024-03-16,Sales target achievement bonus.
1556,1556,1094.65,2024-03-15,Employee of the month bonus.
1557,1557,985.23,2023-10-04,Year-end performance bonus.
1558,1558,1443.45,2023-10-08,Holiday bonus.
1559,1559,1906.68,2023-08-16,Holiday bonus.
1560,1560,1319.3,2023-06-09,Project completion bonus.
1561,1561,1064.35,2023-08-16,Project completion bonus.
1562,1562,1125.69,2023-12-05,Project completion bonus.
1563,1563,1468.59,2024-03-21,Holiday bonus.
1564,1564,1755.37,2023-10-05,Holiday bonus.
1565,1565,810.92,2023-12-21,Employee of the month bonus.
1566,1566,1505.78,2024-01-21,Sales target achievement bonus.
1567,1567,1492.77,2023-08-03,Project completion bonus.
1568,1568,1499.23,2024-01-16,Project completion bonus.
1569,1569,1139.94,2024-01-24,Project completion bonus.
1570,1570,1584.7,2023-10-30,Employee of the month bonus.
1571,1571,1069.59,2024-01-14,Sales target achievement bonus.
1572,1572,1984.25,2024-05-07,Holiday bonus.
1573,1573,1607.64,2023-09-10,Holiday bonus.
1574,1574,1833.12,2023-12-03,Holiday bonus.
1575,1575,790.61,2023-11-02,Year-end performance bonus.
1576,1576,1442.8,2023-11-08,Project completion bonus.
1577,1577,1718.65,2023-07-25,Project completion bonus.
1578,1578,1037.84,2023-06-28,Sales target achievement bonus.
1579,1579,1539.3,2024-04-11,Employee of the month bonus.
1580,1580,1777.08,2024-03-27,Sales target achievement bonus.
1581,1581,1174.45,2023-08-08,Employee of the month bonus.
1582,1582,1102.45,2023-05-28,Holiday bonus.
1583,1583,1982.42,2023-08-06,Project completion bonus.
1584,1584,1935.21,2023-08-13,Sales target achievement bonus.
1585,1585,1021.35,2023-06-02,Project completion bonus.
1586,1586,755.68,2023-07-18,Sales target achievement bonus.
1587,1587,809.62,2023-07-17,Year-end performance bonus.
1588,1588,1971.21,2023-11-12,Year-end performance bonus.
1589,1589,1830.52,2023-10-04,Sales target achievement bonus.
1590,1590,1610.4,2023-12-08,Year-end performance bonus.
1591,1591,754.27,2023-09-26,Project completion bonus.
1592,1592,1522.14,2023-09-18,Project completion bonus.
1593,1593,1231.09,2023-09-05,Holiday bonus.
1594,1594,683.19,2024-05-07,Sales target achievement bonus.
1595,1595,1554.73,2024-02-13,Employee of the month bonus.
1596,1596,1653.44,2023-07-13,Employee of the month bonus.
1597,1597,1456.5,2023-12-31,Employee of the month bonus.
1598,1598,1181.67,2023-06-20,Employee of the month bonus.
1599,1599,1752.88,2024-01-02,Year-end performance bonus.
1600,1600,1230.61,2023-10-30,Project completion bonus.
1601,1601,544.95,2023-10-27,Year-end performance bonus.
1602,1602,949.4,2024-01-19,Sales target achievement bonus.
1603,1603,848.52,2024-02-05,Holiday bonus.
1604,1604,1155.04,2024-02-28,Employee of the month bonus.
1605,1605,1623.19,2023-11-14,Holiday bonus.
1606,1606,1580.23,2023-12-15,Year-end performance bonus.
1607,1607,1164.67,2023-08-18,Project completion bonus.
1608,1608,507.15,2024-03-20,Sales target achievement bonus.
1609,1609,810.75,2023-06-19,Employee of the month bonus.
1610,1610,1847.31,2023-11-21,Project completion bonus.
1611,1611,1055.81,2023-11-12,Employee of the month bonus.
1612,1612,783.16,2024-05-02,Employee of the month bonus.
1613,1613,1168.46,2023-11-05,Employee of the month bonus.
1614,1614,918.43,2023-11-27,Year-end performance bonus.
1615,1615,1053.34,2024-03-24,Employee of the month bonus.
1616,1616,1310.6,2023-10-01,Project completion bonus.
1617,1617,1519.72,2024-04-19,Project completion bonus.
1618,1618,1205.88,2024-05-10,Project completion bonus.
1619,1619,1429.49,2023-10-09,Project completion bonus.
1620,1620,796.84,2024-01-13,Employee of the month bonus.
1621,1621,706.22,2024-02-15,Holiday bonus.
1622,1622,716.75,2023-06-08,Sales target achievement bonus.
1623,1623,1464.04,2024-03-23,Sales target achievement bonus.
1624,1624,916.85,2024-03-22,Year-end performance bonus.
1625,1625,610.05,2023-06-10,Year-end performance bonus.
1626,1626,962.98,2023-10-31,Holiday bonus.
1627,1627,766.2,2024-02-06,Sales target achievement bonus.
1628,1628,590.99,2024-03-17,Project completion bonus.
1629,1629,1932.56,2023-10-11,Project completion bonus.
1630,1630,1232.37,2024-03-15,Sales target achievement bonus.
1631,1631,500.62,2023-07-23,Year-end performance bonus.
1632,1632,1882.91,2024-03-19,Employee of the month bonus.
1633,1633,1033.89,2024-03-06,Year-end performance bonus.
1634,1634,1594.93,2024-03-29,Project completion bonus.
1635,1635,1670.97,2023-11-20,Project completion bonus.
1636,1636,1216.02,2024-04-25,Employee of the month bonus.
1637,1637,1569.6,2024-03-10,Sales target achievement bonus.
1638,1638,1610.16,2023-06-26,Employee of the month bonus.
1639,1639,1099.07,2024-01-26,Year-end performance bonus.
1640,1640,944.41,2023-09-06,Sales target achievement bonus.
1641,1641,1233.25,2024-05-22,Project completion bonus.
1642,1642,934.57,2023-06-09,Project completion bonus.
1643,1643,1793.25,2024-02-25,Employee of the month bonus.
1644,1644,513.23,2023-08-15,Sales target achievement bonus.
1645,1645,1690.97,2024-03-28,Employee of the month bonus.
1646,1646,1048.55,2023-06-24,Sales target achievement bonus.
1647,1647,1381.14,2024-01-21,Sales target achievement bonus.
1648,1648,924.28,2023-09-28,Project completion bonus.
1649,1649,670.83,2024-02-05,Employee of the month bonus.
1650,1650,840.78,2023-12-17,Employee of the month bonus.
1651,1651,1801.96,2023-09-22,Sales target achievement bonus.
1652,1652,1880.96,2024-01-23,Holiday bonus.
1653,1653,1707.78,2024-02-18,Holiday bonus.
1654,1654,1233.29,2024-03-12,Year-end performance bonus.
1655,1655,928.07,2024-04-11,Employee of the month bonus.
1656,1656,874.07,2023-06-16,Project completion bonus.
1657,1657,1446.88,2023-06-23,Year-end performance bonus.
1658,1658,608.19,2023-12-26,Employee of the month bonus.
1659,1659,833.83,2023-08-30,Holiday bonus.
1660,1660,1213.54,2024-01-13,Holiday bonus.
1661,1661,1497.73,2024-03-16,Project completion bonus.
1662,1662,863.13,2023-10-28,Year-end performance bonus.
1663,1663,1864.1,2023-06-29,Employee of the month bonus.
1664,1664,900.44,2023-12-25,Sales target achievement bonus.
1665,1665,681.09,2023-11-11,Year-end performance bonus.
1666,1666,1653.6,2024-04-14,Employee of the month bonus.
1667,1667,611.91,2024-02-22,Sales target achievement bonus.
1668,1668,1017.83,2023-11-19,Employee of the month bonus.
1669,1669,564.46,2023-10-15,Sales target achievement bonus.
1670,1670,1594.24,2023-08-01,Holiday bonus.
1671,1671,962.34,2024-02-03,Sales target achievement bonus.
1672,1672,1856.11,2023-09-30,Holiday bonus.
1673,1673,660.77,2023-12-21,Year-end performance bonus.
1674,1674,1169.66,2023-09-02,Holiday bonus.
1675,1675,1463.11,2024-01-16,Project completion bonus.
1676,1676,1036.14,2024-04-03,Employee of the month bonus.
1677,1677,1781.01,2023-11-22,Holiday bonus.
1678,1678,1751.0,2024-03-26,Holiday bonus.
1679,1679,791.01,2023-08-02,Holiday bonus.
1680,1680,1539.8,2023-09-04,Year-end performance bonus.
